Cell Name;Cell_ID;BSC;Longitude_Sector;Latitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
GAB_0032_C02_110_1;57831;SO1BSC3;9.7845556;33.899361;outdoor;1;5783;;80;;;2G;55702;605;1;macro;28736;1
GAB_0032_C02_110_2;57832;SO1BSC3;9.7845556;33.899361;outdoor;2;5783;;220;;;2G;55702;605;1;macro;10785;1
GAB_0032_C02_110_3;57833;SO1BSC3;9.7845556;33.899361;outdoor;3;5783;;320;;;2G;55702;605;1;macro;35076;1
GAB_0033_C02_110_1;57841;SO1BSC3;10.28972222;33.61658333;outdoor;1;5784;;50;;;2G;55702;605;1;macro;25103;1
GAB_0033_C02_110_2;57842;SO1BSC3;10.28972222;33.61658333;outdoor;2;5784;;160;;;2G;55702;605;1;macro;20136;1
GAB_0033_C02_110_3;57843;SO1BSC3;10.28972222;33.61658333;outdoor;3;5784;;310;;;2G;55702;605;1;macro;1099;1
GAB_0033_C02_110_4;59961;SO1BSC3;10.28972222;33.61658333;outdoor;4;5784;;230;;;2G;55702;605;1;macro;26006;1
GAB_0034_C02_110_1;57851;SO1BSC3;10.27386111;33.61830556;outdoor;1;5785;;50;;;2G;55702;605;1;macro;22450;1
GAB_0034_C02_110_2;57852;SO1BSC3;10.27386111;33.61830556;outdoor;2;5785;;160;;;2G;55702;605;1;macro;20127;1
GAB_0034_C02_110_3;57853;SO1BSC3;10.27386111;33.61830556;outdoor;3;5785;;290;;;2G;55702;605;1;macro;13340;1
GAB_0035_C02_110_1;57861;SO1BSC3;10.285222;33.635306;outdoor;1;5786;;60;;;2G;55702;605;1;macro;25057;1
GAB_0035_C02_110_2;57862;SO1BSC3;10.285222;33.635306;outdoor;2;5786;;180;;;2G;55702;605;1;macro;21661;1
GAB_0035_C02_110_3;57863;SO1BSC3;10.285222;33.635306;outdoor;3;5786;;280;;;2G;55702;605;1;macro;26761;1
GAB_0036_C02_110_1;57871;SO1BSC3;10.01272778;33.66855278;outdoor;1;5787;;25;;;2G;55702;605;1;macro;16549;1
GAB_0036_C02_110_2;57872;SO1BSC3;10.01272778;33.66855278;outdoor;2;5787;;125;;;2G;55702;605;1;macro;20708;1
GAB_0036_C02_110_3;57873;SO1BSC3;10.01272778;33.66855278;outdoor;3;5787;;195;;;2G;55702;605;1;macro;19487;1
GAB_0037_C01_110_1;57881;SO1BSC3;9.97197;33.54736;outdoor;1;5788;;10;;;2G;55702;605;1;macro;35308;1
GAB_0037_C01_110_2;57882;SO1BSC3;9.97197;33.54736;outdoor;2;5788;;160;;;2G;55702;605;1;macro;28041;1
GAB_0037_C01_110_3;57883;SO1BSC3;9.97197;33.54736;outdoor;3;5788;;270;;;2G;55702;605;1;macro;35103;1
GAB_0038_C01_110_1;57891;SO1BSC3;10.01380556;33.73569444;outdoor;1;5789;;30;;;2G;55702;605;1;macro;24838;1
GAB_0038_C01_110_2;57892;SO1BSC3;10.01380556;33.73569444;outdoor;2;5789;;150;;;2G;55702;605;1;macro;28664;1
GAB_0038_C01_110_3;57893;SO1BSC3;10.01380556;33.73569444;outdoor;3;5789;;270;;;2G;55702;605;1;macro;27104;1
GAB_0039_C03_110_1;57901;SO1BSC3;9.92786111;33.75730556;outdoor;1;5790;;80;;;2G;55702;605;1;macro;29052;1
GAB_0039_C03_110_2;57902;SO1BSC3;9.92786111;33.75730556;outdoor;2;5790;;180;;;2G;55702;605;1;macro;33334;1
GAB_0039_C03_110_3;57903;SO1BSC3;9.92786111;33.75730556;outdoor;3;5790;;310;;;2G;55702;605;1;macro;29708;1
GAB_0041_C01_110_1;57921;SO1BSC3;9.60127778;34.22916667;outdoor;1;5792;;30;;;2G;55702;605;1;macro;31735;1
GAB_0041_C01_110_2;57922;SO1BSC3;9.60127778;34.22916667;outdoor;2;5792;;130;;;2G;55702;605;1;macro;28542;1
GAB_0041_C01_110_3;57923;SO1BSC3;9.60127778;34.22916667;outdoor;3;5792;;300;;;2G;55702;605;1;macro;31708;1
GAB_0042_C02_110_1;57931;SO1BSC3;9.71288889;33.88778056;outdoor;1;5793;;30;;;2G;55702;605;1;macro;28260;1
GAB_0042_C02_110_2;57932;SO1BSC3;9.71288889;33.88778056;outdoor;2;5793;;110;;;2G;55702;605;1;macro;21870;1
GAB_0042_C02_110_3;57933;SO1BSC3;9.71288889;33.88778056;outdoor;3;5793;;250;;;2G;55702;605;1;macro;33935;1
GAB_0043_C03_110_1;57941;SO1BSC3;9.47872223;33.79374445;outdoor;1;5794;;65;;;2G;55702;605;1;macro;34885;1
GAB_0043_C03_110_2;57942;SO1BSC3;9.47872223;33.79374445;outdoor;2;5794;;245;;;2G;55702;605;1;macro;33889;1
GAB_0045_C01_110_1;57961;SO1BSC3;9.94713889;33.86811111;outdoor;1;5796;;60;;;2G;55701;605;1;macro;22166;1
GAB_0045_C01_110_2;57962;SO1BSC3;9.94713889;33.86811111;outdoor;2;5796;;160;;;2G;55701;605;1;macro;31055;1
GAB_0045_C01_110_3;57963;SO1BSC3;9.94713889;33.86811111;outdoor;3;5796;;290;;;2G;55701;605;1;macro;30806;1
GAB_0046_C01_418_1;57971;SO1BSC3;9.86275;33.90569444;outdoor;1;5797;;10;;;2G;55702;605;1;macro;34938;1
GAB_0046_C01_418_2;57972;SO1BSC3;9.86275;33.90569444;outdoor;2;5797;;100;;;2G;55702;605;1;macro;15014;1
GAB_0046_C01_418_3;57973;SO1BSC3;9.86275;33.90569444;outdoor;3;5797;;170;;;2G;55702;605;1;macro;22116;1
GAB_0046_C01_418_4;59811;SO1BSC3;9.86275;33.90569444;outdoor;4;5797;;255;;;2G;55702;605;1;macro;34541;1
GAB_0047_C03_310_1;57981;SO1BSC3;10.130778;33.473606;outdoor;1;5798;;30;;;2G;55702;605;1;macro;33165;1
GAB_0047_C03_310_2;57982;SO1BSC3;10.130778;33.473606;outdoor;2;5798;;130;;;2G;55702;605;1;macro;35156;1
GAB_0047_C03_310_3;57983;SO1BSC3;10.130778;33.473606;outdoor;3;5798;;220;;;2G;55702;605;1;macro;35364;1
GAB_0047_C03_310_4;59781;SO1BSC3;10.130778;33.473606;outdoor;4;5798;;320;;;2G;55702;605;1;macro;35089;1
GAB_0048_C05_214_1;57991;SO1BSC3;9.871427778;33.53551111;outdoor;1;5799;;70;;;2G;55702;605;1;macro;29732;1
GAB_0048_C05_214_2;57992;SO1BSC3;9.871427778;33.53551111;outdoor;2;5799;;260;;;2G;55702;605;1;macro;35346;1
GAB_0048_C05_214_3;57993;SO1BSC3;9.871427778;33.53551111;outdoor;3;5799;;345;;;2G;55702;605;1;macro;35352;1
GAB_0049_C02_310_1;58001;SO1BSC3;9.61635556;33.88116112;outdoor;1;5800;;80;;;2G;55702;605;1;macro;25275;1
GAB_0049_C02_310_2;58002;SO1BSC3;9.61635556;33.88116112;outdoor;2;5800;;290;;;2G;55702;605;1;macro;34856;1
GAB_0052_C03_112_1;58011;SO1BSC3;10.12835;33.872742;outdoor;1;5801;;150;;;2G;55701;605;1;macro;4457;1
GAB_0052_C03_112_2;58012;SO1BSC3;10.12835;33.872742;outdoor;2;5801;;230;;;2G;55701;605;1;macro;1270;1
GAB_0052_C03_112_3;58013;SO1BSC3;10.12835;33.872742;outdoor;3;5801;;320;;;2G;55701;605;1;macro;5134;1
GAB_0053_C01_112_1;58041;SO1BSC3;10.09798;33.8815;outdoor;1;5804;;40;;;2G;55701;605;1;macro;448;1
GAB_0053_C01_112_2;58042;SO1BSC3;10.09798;33.8815;outdoor;2;5804;;210;;;2G;55701;605;1;macro;1922;1
GAB_0053_C01_112_3;58043;SO1BSC3;10.09798;33.8815;outdoor;3;5804;;300;;;2G;55701;605;1;macro;1949;1
GAB_0054_C02_112_1;58051;SO1BSC3;10.0946389;33.8553889;outdoor;1;5805;;90;;;2G;55701;605;1;macro;695;1
GAB_0054_C02_112_2;58052;SO1BSC3;10.0946389;33.8553889;outdoor;2;5805;;210;;;2G;55701;605;1;macro;14752;1
GAB_0054_C02_112_3;58053;SO1BSC3;10.0946389;33.8553889;outdoor;3;5805;;330;;;2G;55701;605;1;macro;3488;1
GAB_0055_C03_112_1;58061;SO1BSC3;10.11447222;33.84466667;outdoor;1;5806;;10;;;2G;55701;605;1;macro;3249;1
GAB_0055_C03_112_2;58062;SO1BSC3;10.11447222;33.84466667;outdoor;2;5806;;160;;;2G;55701;605;1;macro;9684;1
GAB_0055_C03_112_3;58063;SO1BSC3;10.11447222;33.84466667;outdoor;3;5806;;260;;;2G;55701;605;1;macro;15071;1
GAB_0057_C02_412_1;58081;SO1BSC3;10.06786389;33.941225;outdoor;1;5808;;60;;;2G;55701;605;1;macro;618;1
GAB_0057_C02_412_2;58082;SO1BSC3;10.06786389;33.941225;outdoor;2;5808;;140;;;2G;55701;605;1;macro;4414;1
GAB_0057_C02_412_3;58083;SO1BSC3;10.06786389;33.941225;outdoor;3;5808;;260;;;2G;55701;605;1;macro;590;1
GAB_0057_C02_412_4;59921;SO1BSC3;10.06786389;33.941225;outdoor;4;5808;;340;;;2G;55701;605;1;macro;707;1
GAB_0058_C03_315_1;58091;SO1BSC3;9.978261;33.983911;outdoor;1;5809;;80;;;2G;55701;605;1;macro;25153;1
GAB_0058_C03_315_2;58092;SO1BSC3;9.978261;33.983911;outdoor;2;5809;;170;;;2G;55701;605;1;macro;3050;1
GAB_0058_C03_315_3;58093;SO1BSC3;9.978261;33.983911;outdoor;3;5809;;270;;;2G;55701;605;1;macro;8292;1
GAB_0060_C02_413_1;58111;SO1BSC3;10.09331389;33.88425278;outdoor;1;5811;;0;;;2G;55701;605;1;macro;431;1
GAB_0060_C02_413_2;58112;SO1BSC3;10.09331389;33.88425278;outdoor;2;5811;;150;;;2G;55701;605;1;macro;411;1
GAB_0060_C02_413_3;58113;SO1BSC3;10.09331389;33.88425278;outdoor;3;5811;;240;;;2G;55701;605;1;macro;562;1
GAB_0061_C01_115_1;58121;SO1BSC3;9.99423056;34.21244167;outdoor;1;5812;;40;;;2G;55702;605;1;macro;8943;1
GAB_0061_C01_115_2;58122;SO1BSC3;9.99423056;34.21244167;outdoor;2;5812;;185;;;2G;55702;605;1;macro;31436;1
GAB_0061_C01_115_3;58123;SO1BSC3;9.99423056;34.21244167;outdoor;3;5812;;330;;;2G;55702;605;1;macro;20387;1
GAB_0062_C02_115_1;58131;SO1BSC3;10.34807;33.667348;outdoor;1;0;;50;;;2G;55702;605;1;macro;3123;1
GAB_0062_C02_115_2;58132;SO1BSC3;10.34807;33.667348;outdoor;2;0;;130;;;2G;55702;605;1;macro;26127;1
GAB_0062_C02_115_3;58133;SO1BSC3;10.34807;33.667348;outdoor;3;0;;200;;;2G;55702;605;1;macro;7110;1
GAB_0063_C01_414_1;58141;SO1BSC3;10.06251112;33.94408889;outdoor;1;5814;;120;;;2G;55701;605;1;macro;4983;1
GAB_0063_C01_414_2;58142;SO1BSC3;10.06251112;33.94408889;outdoor;2;5814;;240;;;2G;55701;605;1;macro;410;1
GAB_0063_C01_414_3;58143;SO1BSC3;10.06251112;33.94408889;outdoor;3;5814;;340;;;2G;55701;605;1;macro;2209;1
GAB_0064_C01_414_1;58151;SO1BSC3;10.06142778;33.90510556;outdoor;1;5815;;135;;;2G;55701;605;1;macro;29835;1
GAB_0064_C01_414_2;58152;SO1BSC3;10.06142778;33.90510556;outdoor;2;5815;;215;;;2G;55701;605;1;macro;3245;1
GAB_0064_C01_414_3;58153;SO1BSC3;10.06142778;33.90510556;outdoor;3;5815;;310;;;2G;55701;605;1;macro;24588;1
GAB_0065_C01_414_1;58161;SO1BSC3;10.06255001;33.87250834;outdoor;1;5816;;0;;;2G;55701;605;1;macro;1845;1
GAB_0065_C01_414_2;58162;SO1BSC3;10.06255001;33.87250834;outdoor;2;5816;;200;;;2G;55701;605;1;macro;11485;1
GAB_0065_C01_414_3;58163;SO1BSC3;10.06255001;33.87250834;outdoor;3;5816;;270;;;2G;55701;605;1;macro;395;1
GAB_0066_C01_414_1;58171;SO1BSC3;10.01291667;33.95563889;outdoor;1;5817;;15;;;2G;55701;605;1;macro;7842;1
GAB_0066_C01_414_2;58172;SO1BSC3;10.01291667;33.95563889;outdoor;2;5817;;140;;;2G;55701;605;1;macro;3182;1
GAB_0066_C01_414_3;58173;SO1BSC3;10.01291667;33.95563889;outdoor;3;5817;;280;;;2G;55701;605;1;macro;1550;1
GAB_0067_C01_115_1;58181;SO1BSC3;10.10828334;33.85465278;outdoor;1;5818;;30;;;2G;55701;605;1;macro;7857;1
GAB_0067_C01_115_2;58182;SO1BSC3;10.10828334;33.85465278;outdoor;2;5818;;120;;;2G;55701;605;1;macro;4619;1
GAB_0067_C01_115_3;58183;SO1BSC3;10.10828334;33.85465278;outdoor;3;5818;;230;;;2G;55701;605;1;macro;1531;1
GAB_0067_C01_115_4;58031;SO1BSC3;10.10828334;33.85465278;outdoor;4;5818;;300;;;2G;55701;605;1;macro;20981;1
GAB_0068_C01_416_1;58191;SO1BSC3;10.09016389;33.89352223;outdoor;1;5819;;40;;;2G;55701;605;1;macro;3737;1
GAB_0068_C01_416_2;58192;SO1BSC3;10.09016389;33.89352223;outdoor;2;5819;;150;;;2G;55701;605;1;macro;1088;1
GAB_0068_C01_416_3;58193;SO1BSC3;10.09016389;33.89352223;outdoor;3;5819;;300;;;2G;55701;605;1;macro;1851;1
GAB_0069_C01_416_1;58201;SO1BSC3;10.074108;33.898572;outdoor;1;5820;;40;;;2G;55701;605;1;macro;1093;1
GAB_0069_C01_416_2;58202;SO1BSC3;10.074108;33.898572;outdoor;2;5820;;140;;;2G;55701;605;1;macro;1805;1
GAB_0069_C01_416_3;58203;SO1BSC3;10.074108;33.898572;outdoor;3;5820;;290;;;2G;55701;605;1;macro;616;1
GAB_0070_C01_416_1;58211;SO1BSC3;10.07359167;33.89155834;outdoor;1;5821;;70;;;2G;55701;605;1;macro;3777;1
GAB_0070_C01_416_2;58212;SO1BSC3;10.07359167;33.89155834;outdoor;2;5821;;160;;;2G;55701;605;1;macro;1513;1
GAB_0070_C01_416_3;58213;SO1BSC3;10.07359167;33.89155834;outdoor;3;5821;;230;;;2G;55701;605;1;macro;15757;1
GAB_0070_C01_416_4;59821;SO1BSC3;10.07359167;33.89155834;outdoor;4;5821;;300;;;2G;55701;605;1;macro;7736;1
GAB_0071_C01_416_1;58221;SO1BSC3;9.92297222;34.0281944;outdoor;1;5822;;15;;;2G;55701;605;1;macro;28139;1
GAB_0071_C01_416_2;58222;SO1BSC3;9.92297222;34.0281944;outdoor;2;5822;;150;;;2G;55701;605;1;macro;23485;1
GAB_0071_C01_416_3;58223;SO1BSC3;9.92297222;34.0281944;outdoor;3;5822;;315;;;2G;55701;605;1;macro;23088;1
GAB_0072_C02_416_1;58231;SO1BSC3;9.9949138;33.8763;outdoor;1;5823;;60;;;2G;55701;605;1;macro;12186;1
GAB_0072_C02_416_2;58232;SO1BSC3;9.9949138;33.8763;outdoor;2;5823;;140;;;2G;55701;605;1;macro;18509;1
GAB_0072_C02_416_3;58233;SO1BSC3;9.9949138;33.8763;outdoor;3;5823;;250;;;2G;55701;605;1;macro;15433;1
GAB_0072_C02_416_4;59841;SO1BSC3;9.9949138;33.8763;outdoor;4;5823;;335;;;2G;55701;605;1;macro;23497;1
GAB_0073_C02_117_1;58241;SO1BSC3;10.10904;33.86948;outdoor;1;5824;;20;;;2G;55701;605;1;macro;1604;1
GAB_0073_C02_117_2;58242;SO1BSC3;10.10904;33.86948;outdoor;2;5824;;110;;;2G;55701;605;1;macro;1072;1
GAB_0073_C02_117_3;58243;SO1BSC3;10.10904;33.86948;outdoor;3;5824;;250;;;2G;55701;605;1;macro;754;1
GAB_0077_C02_317_1;58281;SO1BSC3;10.118188;33.886057;outdoor;1;5828;;185;;;2G;55701;605;1;macro;1723;1
GAB_0077_C02_317_2;58282;SO1BSC3;10.118188;33.886057;outdoor;2;5828;;260;;;2G;55701;605;1;macro;627;1
GAB_0077_C02_317_3;58283;SO1BSC3;10.118188;33.886057;outdoor;3;5828;;330;;;2G;55701;605;1;macro;4546;1
GAB_0078_C02_418_1;58291;SO1BSC3;10.206053;33.433975;outdoor;1;5829;;15;;;2G;55702;605;1;macro;3000;1
GAB_0078_C02_418_2;58292;SO1BSC3;10.206053;33.433975;outdoor;2;5829;;100;;;2G;55702;605;1;macro;3000;1
GAB_0078_C02_418_3;58293;SO1BSC3;10.206053;33.433975;outdoor;3;5829;;280;;;2G;55702;605;1;macro;3000;1
GAB_0079_C01_218_1;58301;SO1BSC3;10.31778056;33.71213333;outdoor;1;5830;;130;;;2G;55702;605;1;macro;30994;1
GAB_0079_C01_218_2;58302;SO1BSC3;10.31778056;33.71213333;outdoor;2;5830;;225;;;2G;55702;605;1;macro;33495;1
GAB_0079_C01_218_3;58303;SO1BSC3;10.31778056;33.71213333;outdoor;3;5830;;310;;;2G;55702;605;1;macro;21038;1
GAB_0080_C01_318_1;58311;SO1BSC3;10.10648333;33.75886667;outdoor;1;5831;;130;;;2G;55702;605;1;macro;25173;1
GAB_0080_C01_318_2;58312;SO1BSC3;10.10648333;33.75886667;outdoor;2;5831;;220;;;2G;55702;605;1;macro;29091;1
GAB_0080_C01_318_3;58313;SO1BSC3;10.10648333;33.75886667;outdoor;3;5831;;315;;;2G;55702;605;1;macro;24515;1
GAB_0082_C01_219_1;58331;SO1BSC3;10.177992;33.640947;outdoor;1;5833;;150;;;2G;55702;605;1;macro;7547;1
GAB_0082_C01_219_2;58332;SO1BSC3;10.177992;33.640947;outdoor;2;5833;;250;;;2G;55702;605;1;macro;8578;1
