CellName;Cell_ID;BSC;BSC_ID;Latitude_Sector;Longitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;SAC;eNodeBID;Downtilt;Electrical_DownTilt;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
MED_0066_C01_110_u5;60675;SO1RNC2;511;33.35891229;10.47908595;outdoor;2;6067;;170;;;3G;55602;10675;;;;605;1;;478;1
MED_0019_C01_409_u3;60203;SO1RNC2;511;33.68869444;10.91427778;outdoor;3;6020;;290;;;3G;55601;10203;;;;605;1;;11682;1
MED_0041_C01_409_u5;60425;SO1RNC2;511;33.82838889;10.98160833;outdoor;2;6042;;190;;;3G;55601;10425;;;;605;1;;779;1
MED_0015_C04_409_u6;60166;SO1RNC2;511;33.758482;11.013539;outdoor;3;6016;;340;;;3G;55601;10166;;;;605;1;;2431;1
MED_0028_C02_409_u6;60296;SO1RNC2;511;33.51936111;11.10913889;outdoor;3;6029;;220;;;3G;55603;10296;;;;605;1;;649;1
MED_0028_C02_409_u4;60294;SO1RNC2;511;33.51936111;11.10913889;outdoor;1;6029;;10;;;3G;55603;10294;;;;605;1;;864;1
MED_0071_C03_110_u4;60724;SO1RNC2;511;33.12341667;11.23633333;outdoor;1;6072;;10;;;3G;55602;10724;;;;605;1;;985;1
MED_0083_C01_310_u4;60844;SO1RNC2;511;33.44415833;10.381825;outdoor;1;6084;;120;;;3G;55602;10844;;;;605;1;;3346;1
MED_0022_C01_409_u2;60232;SO1RNC2;511;33.75096944;10.91951944;outdoor;2;6023;;230;;;3G;55601;10232;;;;605;1;;1444;1
MED_0046_C04_409_u6;60476;SO1RNC2;511;33.87648611;10.85624167;outdoor;3;6047;;340;;;3G;55601;10476;;;;605;1;;158;1
MED_0048_C01_110_u6;60496;SO1RNC2;511;33.15025;11.55625;outdoor;3;6049;;260;;;3G;55602;10496;;;;605;1;;2568;1
MED_0062_C03_110_u5;60635;SO1RNC2;511;33.34302778;10.50655556;outdoor;2;6063;;160;;;3G;55602;10635;;;;605;1;;828;1
MED_0022_C01_409_u6;60236;SO1RNC2;511;33.75096944;10.91951944;outdoor;3;6023;;320;;;3G;55601;10236;;;;605;1;;1330;1
MED_0044_C02_409_u4;60454;SO1RNC2;511;33.87615;10.84218056;outdoor;1;6045;;30;;;3G;55601;10454;;;;605;1;;623;1
MED_0076_C01_110_u5;60775;SO1RNC2;511;33.14286111;11.18233056;outdoor;2;6077;;190;;;3G;55602;10775;;;;605;1;;1011;1
MED_0007_C02_409_q4;62514;SO1RNC2;511;33.80452778;10.88344444;outdoor;4;6008;;90;;;3G;55601;12514;;;;605;1;;1975;1
MED_0037_C03_409_u5;60385;SO1RNC2;511;33.51030556;11.08319444;outdoor;2;6038;;190;;;3G;55603;10385;;;;605;1;;762;1
MED_0016_C01_409_u5;60175;SO1RNC2;511;33.76138889;10.95238889;outdoor;2;6017;;200;;;3G;55601;10175;;;;605;1;;1790;1
MED_0060_C03_110_u4;60614;SO1RNC2;511;33.86160833;10.97378056;outdoor;1;6061;;80;;;3G;55601;10614;;;;605;1;;723;1
MED_0079_C01_110_u5;60805;SO1RNC2;511;33.82980556;11.00111111;outdoor;2;6080;;70;;;3G;55601;10805;;;;605;1;;1407;1
MED_0036_C01_409_u6;60376;SO1RNC2;511;33.52458333;11.08555556;outdoor;3;6037;;340;;;3G;55603;10376;;;;605;1;;3033;1
MED_0079_C01_110_u4;60804;SO1RNC2;511;33.82980556;11.00111111;outdoor;1;6080;;0;;;3G;55601;10804;;;;605;1;;978;1
MED_0007_C02_409_u4;60084;SO1RNC2;511;33.80452778;10.88344444;outdoor;1;6008;;170;;;3G;55601;10084;;;;605;1;;633;1
MED_0076_C01_110_u4;60774;SO1RNC2;511;33.14286111;11.18233056;outdoor;1;6077;;110;;;3G;55602;10774;;;;605;1;;217;1
MED_0017_C02_409_r7;63337;SO1RNC2;511;33.80257778;10.78614444;outdoor;4;6018;;320;;;3G;55601;13337;;;;605;1;macro;4107;1
MED_0060_C03_110_u6;60616;SO1RNC2;511;33.86160833;10.97378056;outdoor;3;6061;;320;;;3G;55601;10616;;;;605;1;;918;1
MED_0056_C01_409_u1;60571;SO1RNC2;511;33.49686111;11.05577778;outdoor;1;6057;;60;;;3G;55603;10571;;;;605;1;;1183;1
MED_0064_C01_110_u4;60654;SO1RNC2;511;33.32863889;10.48513889;outdoor;1;6065;;20;;;3G;55602;10654;;;;605;1;;395;1
MED_0061_C01_110_u4;60624;SO1RNC2;511;33.33816667;10.49194444;outdoor;1;6062;;40;;;3G;55602;10624;;;;605;1;;594;1
MED_0070_C02_110_u4;60714;SO1RNC2;511;33.11711111;11.20441667;outdoor;1;6071;;50;;;3G;55602;10714;;;;605;1;;901;1
MED_0066_C01_110_q4;62484;SO1RNC2;511;33.35891229;10.47908595;outdoor;4;6067;;330;;;3G;55602;12484;;;;605;1;;239;1
MED_0064_C01_110_u5;60655;SO1RNC2;511;33.32863889;10.48513889;outdoor;2;6065;;130;;;3G;55602;10655;;;;605;1;;2433;1
MED_0077_C03_110_u5;60785;SO1RNC2;511;33.14733056;11.20155;outdoor;2;6078;;190;;;3G;55602;10785;;;;605;1;;1084;1
MED_0066_C01_110_u6;60676;SO1RNC2;511;33.35891229;10.47908595;outdoor;3;6067;;260;;;3G;55602;10676;;;;605;1;;1022;1
MED_0041_C01_409_u6;60426;SO1RNC2;511;33.82838889;10.98160833;outdoor;3;6042;;330;;;3G;55601;10426;;;;605;1;;1142;1
MED_0022_C01_409_u1;60231;SO1RNC2;511;33.75096944;10.91951944;outdoor;1;6023;;120;;;3G;55601;10231;;;;605;1;;2907;1
MED_0014_C04_409_u6;60156;SO1RNC2;511;33.84108333;10.99238611;outdoor;3;6015;;340;;;3G;55601;10156;;;;605;1;;374;1
MAH_0090_C01_420_u4;40914;SO1RNC2;511;35.373639;10.431944;outdoor;1;4091;;100;;;3G;55503;55914;;;;605;1;;8915;1
MED_0050_C02_113_u6;60516;SO1RNC2;511;33.141944;11.473917;outdoor;3;6051;;280;;;3G;55602;10516;;;;605;1;;4899;1
MED_0007_C02_409_u5;60085;SO1RNC2;511;33.80452778;10.88344444;outdoor;2;6008;;260;;;3G;55601;10085;;;;605;1;;556;1
MED_0075_C01_110_u6;60766;SO1RNC2;511;33.15396944;11.21901111;outdoor;3;6076;;330;;;3G;55602;10766;;;;605;1;;765;1
MED_0007_C02_409_u6;60086;SO1RNC2;511;33.80452778;10.88344444;outdoor;3;6008;;340;;;3G;55601;10086;;;;605;1;;3313;1
