CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
JEN_0034_C04_110_h1;4;8.777937;36.948625;outdoor;2535;40;;;4G;22011;2535;605;1;;;;macro;590;1
JEN_0034_C04_110_h2;5;8.777937;36.948625;outdoor;2535;120;;;4G;22011;2535;605;1;;;;macro;2829;1
JEN_0034_C04_110_h3;6;8.777937;36.948625;outdoor;2535;290;;;4G;22011;2535;605;1;;;;macro;2935;1
JEN_0042_C01_411_l1;7;8.96741389;36.60125556;outdoor;2543;50;;;4G;22012;2543;605;1;;;;macro;3692;1
JEN_0042_C01_411_l2;8;8.96741389;36.60125556;outdoor;2543;220;;;4G;22012;2543;605;1;;;;macro;2229;1
JEN_0042_C01_411_l3;9;8.96741389;36.60125556;outdoor;2543;320;;;4G;22012;2543;605;1;;;;macro;4054;1
JEN_0053_C05_215_j1;104;8.68534723;36.76533334;outdoor;2554;15;;;4G;22011;2554;605;1;;;;macro;943;1
JEN_0053_C05_215_j3;106;8.68534723;36.76533334;outdoor;2554;310;;;4G;22011;2554;605;1;;;;macro;1264;1
JEN_0070_C01_417_h1;4;8.764471;36.950873;outdoor;2571;105;;;4G;22011;2571;605;1;;;;macro;2954;1
JEN_0070_C01_417_h2;5;8.764471;36.950873;outdoor;2571;210;;;4G;22011;2571;605;1;;;;macro;1507;1
JEN_0070_C01_417_f3;3;8.764471;36.950873;outdoor;2571;295;;;4G;22011;2571;605;1;;;;macro;1264;1
KAI_0008_C04_110_h1;4;10.09375;35.68588889;outdoor;3259;110;;;4G;44102;3259;605;1;;;;macro;640;1
KAI_0008_C04_110_h2;5;10.09375;35.68588889;outdoor;3259;220;;;4G;44102;3259;605;1;;;;macro;538;1
KAI_0008_C04_110_h3;6;10.09375;35.68588889;outdoor;3259;320;;;4G;44102;3259;605;1;;;;macro;534;1
KAI_0015_C01_110_l1;7;10.09838889;35.66769444;outdoor;3266;30;;;4G;44102;3266;605;1;;;;macro;599;1
KAI_0015_C01_110_l2;8;10.09838889;35.66769444;outdoor;3266;160;;;4G;44102;3266;605;1;;;;macro;397;1
KAI_0015_C01_110_l3;9;10.09838889;35.66769444;outdoor;3266;290;;;4G;44102;3266;605;1;;;;macro;1409;1
KAI_0021_C14_114_j1;104;10.02615;35.92927;outdoor;3272;10;;;4G;44102;3272;605;1;;;;macro;11792;1
KAI_0021_C14_114_l2;8;10.02615;35.92927;outdoor;3272;130;;;4G;44102;3272;605;1;;;;macro;10231;1
KAI_0021_C14_114_l3;9;10.02615;35.92927;outdoor;3272;195;;;4G;44102;3272;605;1;;;;macro;1702;1
KAI_0021_C14_114_l4;17;10.02615;35.92927;outdoor;3272;300;;;4G;44102;3272;605;1;;;;macro;1401;1
KAI_0023_C04_110_l1;7;10.04844444;35.39416667;outdoor;3274;10;;;4G;44103;3274;605;1;;;;macro;1004;1
KAI_0023_C04_110_l2;8;10.04844444;35.39416667;outdoor;3274;120;;;4G;44103;3274;605;1;;;;macro;2015;1
KAI_0023_C04_110_l3;9;10.04844444;35.39416667;outdoor;3274;200;;;4G;44103;3274;605;1;;;;macro;3733;1
KAI_0023_C04_110_l4;17;10.04844444;35.39416667;outdoor;3274;280;;;4G;44103;3274;605;1;;;;macro;1380;1
KAI_0026_C02_309_l1;7;9.56;35.61225;outdoor;3277;20;;;4G;44103;3277;605;1;;;;macro;4216;1
KAI_0026_C02_309_l2;8;9.56;35.61225;outdoor;3277;170;;;4G;44103;3277;605;1;;;;macro;1912;1
KAI_0026_C02_309_l3;9;9.56;35.61225;outdoor;3277;290;;;4G;44103;3277;605;1;;;;macro;6033;1
KEB_0023_C04_110_f1;1;9.01080001;33.48383889;outdoor;5274;10;;;4G;55703;5274;605;1;;;;macro;660;1
KEB_0023_C04_110_f2;2;9.01080001;33.48383889;outdoor;5274;130;;;4G;55703;5274;605;1;;;;macro;724;1
KEB_0023_C04_110_f3;3;9.01080001;33.48383889;outdoor;5274;270;;;4G;55703;5274;605;1;;;;macro;822;1
KEF_0023_C02_310_l1;7;9.01935657;36.0708322;outdoor;2774;50;;;4G;33301;2774;605;1;;;;macro;1215;1
KEF_0023_C02_310_l2;8;9.01935657;36.0708322;outdoor;2774;130;;;4G;33301;2774;605;1;;;;macro;4749;1
KEF_0023_C02_310_l3;9;9.01935657;36.0708322;outdoor;2774;270;;;4G;33301;2774;605;1;;;;macro;1439;1
MAH_0007_C02_409_l1;7;11.046333;35.48939;outdoor;4008;120;;;4G;55502;4008;605;1;;;;macro;618;1
MAH_0007_C02_409_l2;8;11.046333;35.48939;outdoor;4008;230;;;4G;55502;4008;605;1;;;;macro;1016;1
MAH_0007_C02_409_f4;11;11.046333;35.48939;outdoor;4008;175;;;4G;55502;4008;605;1;;;;macro;1262;1
MAH_0008_C03_409_f3;3;11.0322544;35.52193116;outdoor;4009;340;;;4G;55502;4009;605;1;;;;macro;678;1
MAH_0019_C08_110_l1;7;11.14574445;35.23500001;outdoor;4020;90;;;4G;55503;4020;605;1;;;;macro;1341;1
MAH_0019_C08_110_l2;8;11.14574445;35.23500001;outdoor;4020;240;;;4G;55503;4020;605;1;;;;macro;2793;1
MAH_0019_C08_110_l3;9;11.14574445;35.23500001;outdoor;4020;330;;;4G;55503;4020;605;1;;;;macro;1690;1
MAH_0021_C05_110_l1;7;11.11380556;35.23797222;outdoor;4022;30;;;4G;55503;4022;605;1;;;;macro;1166;1
MAH_0021_C05_110_l2;8;11.11380556;35.23797222;outdoor;4022;190;;;4G;55503;4022;605;1;;;;macro;1073;1
MAH_0021_C05_110_l3;9;11.11380556;35.23797222;outdoor;4022;290;;;4G;55503;4022;605;1;;;;macro;1619;1
MAH_0021_C05_110_l4;17;11.11380556;35.23797222;outdoor;4022;100;;;4G;55503;4022;605;1;;;;macro;1389;1
MAH_0023_C03_110_f1;1;11.10388889;35.23888889;outdoor;4024;60;;;4G;55503;4024;605;1;;;;macro;577;1
MAH_0023_C03_110_f2;2;11.10388889;35.23888889;outdoor;4024;180;;;4G;55503;4024;605;1;;;;macro;671;1
MAH_0023_C03_110_f3;3;11.10388889;35.23888889;outdoor;4024;290;;;4G;55503;4024;605;1;;;;macro;1002;1
MAH_0024_C01_110_h1;4;11.0933;35.24036;outdoor;4025;40;;;4G;55503;4025;605;1;;;;macro;1507;1
MAH_0024_C01_110_h2;5;11.0933;35.24036;outdoor;4025;140;;;4G;55503;4025;605;1;;;;macro;1106;1
MAH_0024_C01_110_h3;6;11.0933;35.24036;outdoor;4025;310;;;4G;55503;4025;605;1;;;;macro;1230;1
MAH_0027_C04_110_l1;7;11.04097;35.39447;outdoor;4028;0;;;4G;55501;4028;605;1;;;;macro;4122;1
MAH_0027_C04_110_l2;8;11.04097;35.39447;outdoor;4028;90;;;4G;55501;4028;605;1;;;;macro;2244;1
MAH_0027_C04_110_l3;9;11.04097;35.39447;outdoor;4028;210;;;4G;55501;4028;605;1;;;;macro;2121;1
MAH_0027_C04_110_l4;17;11.04097;35.39447;outdoor;4028;150;;;4G;55501;4028;605;1;;;;macro;526;1
MAH_0029_C01_110_f1;1;11.03613;35.4279;outdoor;4030;0;;;4G;55501;4030;605;1;;;;macro;3818;1
MAH_0029_C01_110_f2;2;11.03613;35.4279;outdoor;4030;170;;;4G;55501;4030;605;1;;;;macro;2311;1
